Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,2x18650_LION-RESCUE-LION2CELL01C,BT1,2x18650_LION-RESCUE-LION2CELL01C,2LION,1, ,
2,,C-RESCUE-LION2CELL01C,C17,3n3,SMD-0805,1, ,
3,,C-RESCUE-LION2CELL01C,C1 C4 C6 C7 C8 C9 C12 C13 C15 C16 C18 C19,100nF,SMD-0805,12, ,
4,,C-RESCUE-LION2CELL01C,C5,330nF,SMD-0805,1, ,
5,,C-RESCUE-LION2CELL01C,C14,1uF,SMD-0805,1, ,
6,,C-RESCUE-LION2CELL01C,C3 C11,10uF,SMD-0805,2, ,
7,,CP2,C20,10uF,TantalC_SizeB_Reflow,1, ,
8,,CP2,C2,47uF,TantalC_SizeC_Reflow,1, ,
9,,CP2,C10,100uF,TantalC_SizeD_Reflow,1, ,
10,,LED-RESCUE-LION2CELL01C,D3 D4,Green,LED_1206,2, ,
11,,DIODE,D1 D2,M4,SMA_Standard,2, ,
12,,LED-RESCUE-LION2CELL01C,D7 D8 D9 D10 D11 D12 D13 D14,ORAGE,LED_1206,8, ,
13,,LED-RESCUE-LION2CELL01C,D5,Red,LED_1206,1, ,
14,,FUSE,F3,2A,Drzak_2410,1, ,
15,,FUSE,F1,5A,Drzak_2410,1, ,
16,,CONN1_1,J8 J9,CONN1_1,WAGO256,2, ,
17,,CONN_2,J15,CONN_2,SMD_1_2x2,1, ,
18,,JUMP2_2x1,J4,JUMP2_2x1,,1, ,
19,,JUMP_2x1,J2 J3 J5 J6 J10 J11 J12 J14,JUMP_2x1,Straight_1x02,8, ,
20,,JUMP_4X2,J1 J7 J13,JUMP_4X2,Straight_2x04,3, ,
21,,INDUCTOR_SMALL,L1,DE1205-10,DE1205-10,1, ,
22,,MOSFET-N,Q1,IRLML6244,SOT-23,1, ,
23,,R-RESCUE-LION2CELL01C,R22,0R01 75PPM,SMD-2512,1, ,
24,,R-RESCUE-LION2CELL01C,R16,0R1,R_2512,1, ,
25,,R-RESCUE-LION2CELL01C,R3 R9 R18 R19,100R,SMD-0805,4, ,
26,,R-RESCUE-LION2CELL01C,R1,160R,SMD-0805,1, ,
27,,R-RESCUE-LION2CELL01C,R2,260R,SMD-0805,1, ,
28,,R-RESCUE-LION2CELL01C,R10 R20,1K,SMD-0805,2, ,
29,,R-RESCUE-LION2CELL01C,R6 R7 R8 R27 R28 R29 R30 R31 R32 R33 R34,2K2,SMD-0805,11, ,
30,,R-RESCUE-LION2CELL01C,R11 R12,7K5,SMD-0805,2, ,
31,,R-RESCUE-LION2CELL01C,R13,9K31,SMD-0805,1, ,
32,,R-RESCUE-LION2CELL01C,R4 R5 R17,10k,SMD-0805,3, ,
33,,R-RESCUE-LION2CELL01C,R23,16k5 25ppm,SMD-0805,1, ,
34,,R-RESCUE-LION2CELL01C,R35 R36,47k,SMD-0805,2, ,
35,,R-RESCUE-LION2CELL01C,R24,140k .1% 25ppm,SMD-0805,1, ,
36,,R-RESCUE-LION2CELL01C,R26,165k,SMD-0805,1, ,
37,,R-RESCUE-LION2CELL01C,R21 R25,270k,SMD-0805,2, ,
38,,R-RESCUE-LION2CELL01C,R14,442K,SMD-0805,1, ,
39,,R-RESCUE-LION2CELL01C,R15,NCP21XV103J03RA,SMD-0805,1, ,
40,,SW_PUSH,SW1,SW_PUSH,SW_PUSH_SMALL,1, ,
41,,APX810-31SAG-7,U6,APX810-31SAG-7,SOT-23,1, ,
42,,BQ24103,U2,BQ24103,VQFN-20,1, ,
43,,BQ29209,U1,BQ29209,VSON-8,1, ,https://www.ti.com/lit/ds/symlink/bq29209.pdf
44,,BQ34Z100,U3,BQ34Z100,TSSOP-14_4.4x5mm_Pitch0.65mm,1, ,
45,,SN74HC164D,U4,SN74HC164D,SO-14,1, ,
46,,TPS76601,U5,TPS76601,SO-8,1, ,





Project info:
Schematic:,LION2CELL01D
Variant:,default
Revision:,D
Date:,2021-06-02
KiCad Version:,6.0.4-6f826c9f35~116~ubuntu20.04.1
Statistics:
Component Groups:,46
Component Count:,96
Fitted Components:,96
Number of PCBs:,1
Total Components:,96
