Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","SMD-0805",8.8900,26.9240,-90.0000,bottom
"C2","47uF","TantalC_SizeC_Reflow",17.2720,46.2432,-90.0000,bottom
"C3","10uF","SMD-0805",20.1930,43.1800,-90.0000,bottom
"C4","100nF","SMD-0805",8.8900,30.6070,-90.0000,bottom
"C5","330nF","SMD-0805",12.4460,31.4960,0.0000,bottom
"C6","100nF","SMD-0805",21.7170,49.1490,90.0000,bottom
"C7","100nF","SMD-0805",21.8694,43.1800,-90.0000,bottom
"C8","100nF","SMD-0805",15.7480,30.9880,90.0000,bottom
"C9","100nF","SMD-0805",32.7660,48.3870,90.0000,bottom
"C10","100uF","TantalC_SizeD_Reflow",32.2580,24.3840,0.0000,bottom
"C11","10uF","SMD-0805",24.7650,22.4790,-90.0000,bottom
"C12","100nF","SMD-0805",50.4190,24.5110,-90.0000,bottom
"C13","100nF","SMD-0805",62.9920,25.1460,-90.0000,bottom
"C14","1uF","SMD-0805",69.4690,17.2720,-90.0000,bottom
"C15","100nF","SMD-0805",64.0080,22.3520,0.0000,bottom
"C16","100nF","SMD-0805",64.0080,28.4480,0.0000,bottom
"C17","3n3","SMD-0805",53.9115,32.2580,90.0000,bottom
"C18","100nF","SMD-0805",46.8630,20.1930,-90.0000,bottom
"C19","100nF","SMD-0805",46.9900,38.1000,90.0000,bottom
"C20","10uF","TantalC_SizeB_Reflow",50.6095,42.2275,90.0000,bottom
"D1","M4","SMA_Standard",11.7170,49.2760,0.0000,bottom
"D2","M4","SMA_Standard",18.5420,38.1000,-90.0000,bottom
"D3","Green","LED_1206",24.7650,55.8800,90.0000,bottom
"D4","Green","LED_1206",29.8450,55.8800,90.0000,bottom
"D5","Red","LED_1206",34.9250,55.8800,90.0000,bottom
"D7","ORAGE","LED_1206",42.5450,4.4450,90.0000,bottom
"D8","ORAGE","LED_1206",45.2120,4.4450,90.0000,bottom
"D9","ORAGE","LED_1206",47.8790,4.4450,90.0000,bottom
"D10","ORAGE","LED_1206",50.5460,4.4450,90.0000,bottom
"D11","ORAGE","LED_1206",53.2130,4.4450,90.0000,bottom
"D12","ORAGE","LED_1206",55.8800,4.4450,90.0000,bottom
"D13","ORAGE","LED_1206",58.5470,4.4450,90.0000,bottom
"D14","ORAGE","LED_1206",61.2140,4.4450,90.0000,bottom
"F1","5A","Drzak_2410",12.1920,36.3220,0.0000,bottom
"F3","2A","Drzak_2410",39.8780,42.1640,0.0000,bottom
"R1","160R","SMD-0805",6.4770,33.9090,90.0000,bottom
"R2","260R","SMD-0805",5.8420,28.0670,180.0000,bottom
"R3","100R","SMD-0805",5.8420,30.3530,180.0000,bottom
"R4","10k","SMD-0805",46.4820,50.5460,-90.0000,bottom
"R5","10K","SMD-0805",35.0520,50.3555,-90.0000,bottom
"R6","2K2","SMD-0805",22.4790,52.5780,90.0000,bottom
"R7","2K2","SMD-0805",27.4320,52.4510,90.0000,bottom
"R8","2K2","SMD-0805",32.3850,52.4510,90.0000,bottom
"R9","100R","SMD-0805",16.7640,27.6860,0.0000,bottom
"R10","1K","SMD-0805",17.0815,25.0825,-90.0000,bottom
"R11","7K5","SMD-0805",25.9080,49.1490,90.0000,bottom
"R12","7K5","SMD-0805",23.8760,49.1490,90.0000,bottom
"R13","9K31","SMD-0805",33.7820,45.5930,0.0000,bottom
"R14","442K","SMD-0805",30.0990,48.3870,-90.0000,bottom
"R15","NCP21XV103J03RA","SMD-0805",12.8270,40.3860,0.0000,top
"R16","0R1","R_2512",36.9570,34.4170,-90.0000,bottom
"R17","10K NTC","SMD-0805",68.4530,21.0820,180.0000,top
"R18","100R","SMD-0805",65.5320,25.1460,90.0000,bottom
"R19","100R","SMD-0805",68.8340,25.9080,180.0000,bottom
"R20","1K","SMD-0805",71.5010,14.3510,90.0000,bottom
"R21","270k","SMD-0805",15.2400,25.0825,90.0000,bottom
"R22","0R01 75PPM","SMD-2512",72.5170,24.5110,90.0000,bottom
"R23","16k5 25ppm","SMD-0805",55.9435,32.2580,-90.0000,bottom
"R24","140k .1% 25ppm","SMD-0805",52.6415,29.2735,0.0000,bottom
"R25","270k","SMD-0805",51.3080,36.1315,90.0000,bottom
"R26","165k","SMD-0805",51.3080,32.8295,90.0000,bottom
"R27","2K2","SMD-0805",42.5450,9.6520,90.0000,bottom
"R28","2K2","SMD-0805",45.2120,9.6520,90.0000,bottom
"R29","2K2","SMD-0805",47.8790,9.6520,90.0000,bottom
"R30","2K2","SMD-0805",50.5460,9.6520,90.0000,bottom
"R31","2K2","SMD-0805",53.2130,9.6520,90.0000,bottom
"R32","2K2","SMD-0805",55.8800,9.6520,90.0000,bottom
"R33","2K2","SMD-0805",58.5470,9.6520,90.0000,bottom
"R34","2K2","SMD-0805",61.2140,9.6520,90.0000,bottom
"R35","47k","SMD-0805",55.1815,34.9885,180.0000,bottom
"R36","47k","SMD-0805",56.5150,36.8935,180.0000,bottom
"U3","BQ34Z100","TSSOP-14_4.4x5mm_Pitch0.65mm",56.7690,24.8920,0.0000,bottom
