Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,2x18650_LION-RESCUE-LION2CELL01C,BT1,2x18650_LION-RESCUE-LION2CELL01C,2LION,1,
2,,C-RESCUE-LION2CELL01C,C17,3n3,SMD-0805,1,
3,,C-RESCUE-LION2CELL01C,C1C4C6C7C8C9C12C13C15C16C18C19,100nF,SMD-0805,12,
4,,C-RESCUE-LION2CELL01C,C5,330nF,SMD-0805,1,
5,,C-RESCUE-LION2CELL01C,C14,1uF,SMD-0805,1,
6,,C-RESCUE-LION2CELL01C,C3C11,10uF,SMD-0805,2,
7,,CP2,C20,10uF,TantalC_SizeB_Reflow,1,
8,,CP2,C2,47uF,TantalC_SizeC_Reflow,1,
9,,CP2,C10,100uF,TantalC_SizeD_Reflow,1,
10,,LED-RESCUE-LION2CELL01C,D3D4,Green,LED_1206,2,
11,,DIODE,D1D2,M4,SMA_Standard,2,
12,,LED-RESCUE-LION2CELL01C,D7D8D9D10D11D12D13D14,ORAGE,LED_1206,8,
13,,LED-RESCUE-LION2CELL01C,D5,Red,LED_1206,1,
14,,FUSE,F3,2A,Drzak_2410,1,
15,,FUSE,F1,5A,Drzak_2410,1,
16,,CONN1_1,J8J9,CONN1_1,WAGO256,2,
17,,CONN_2,J15,CONN_2,SMD_1_2x2,1,
18,,JUMP2_2x1,J4,JUMP2_2x1,,1,
19,,JUMP_2x1,J2J3J5J6J10J11J12J14,JUMP_2x1,Straight_1x02,8,
20,,JUMP_4X2,J1J7J13,JUMP_4X2,Straight_2x04,3,
21,,INDUCTOR_SMALL,L1,DE1205-10,DE1205-10,1,
22,,MOSFET-N,Q1,IRLML6244,SOT-23,1,
23,,R-RESCUE-LION2CELL01C,R16,0R1,R_2512,1,
24,,R-RESCUE-LION2CELL01C,R3R9R18R19,100R,SMD-0805,4,
25,,R-RESCUE-LION2CELL01C,R1,160R,SMD-0805,1,
26,,R-RESCUE-LION2CELL01C,R2,260R,SMD-0805,1,
27,,R-RESCUE-LION2CELL01C,R10R20,1K,SMD-0805,2,
28,,R-RESCUE-LION2CELL01C,R6R7R8R27R28R29R30R31R32R33R34,2K2,SMD-0805,11,
29,,R-RESCUE-LION2CELL01C,R11R12,7K5,SMD-0805,2,
30,,R-RESCUE-LION2CELL01C,R13,9K31,SMD-0805,1,
31,,R-RESCUE-LION2CELL01C,R4R5,10k,SMD-0805,2,
32,,R-RESCUE-LION2CELL01C,R35R36,47k,SMD-0805,2,
33,,R-RESCUE-LION2CELL01C,R26,165k,SMD-0805,1,
34,,R-RESCUE-LION2CELL01C,R21R25,270k,SMD-0805,2,
35,,R-RESCUE-LION2CELL01C,R14,442K,SMD-0805,1,
36,,R-RESCUE-LION2CELL01C,R22,0R01 75PPM,SMD-2512,1,
37,,R-RESCUE-LION2CELL01C,R17,10K NTC,SMD-0805,1,
38,,R-RESCUE-LION2CELL01C,R24,140k .1% 25ppm,SMD-0805,1,
39,,R-RESCUE-LION2CELL01C,R23,16k5 25ppm,SMD-0805,1,
40,,R-RESCUE-LION2CELL01C,R15,NCP21XV103J03RA,SMD-0805,1,
41,,SW_PUSH,SW1,SW_PUSH,SW_PUSH_SMALL,1,
42,,APX810-31SAG-7,U6,APX810-31SAG-7,SOT-23,1,
43,,BQ24103,U2,BQ24103,VQFN-20,1,
44,,BQ29209,U1,BQ29209,VSON-8,1,https://www.ti.com/lit/ds/symlink/bq29209.pdf
45,,BQ34Z100,U3,BQ34Z100,TSSOP-14_4.4x5mm_Pitch0.65mm,1,
46,,SN74HC164D,U4,SN74HC164D,SO-14,1,
47,,TPS76601,U5,TPS76601,SO-8,1,
